# Frequency (Hz), SPL (dB), Phase (degrees)
8620.000000, 92.784050, 175.5456
8750.000000, 92.461502, 171.7571
8850.000000, 92.129082, 168.8223
9000.000000, 91.510170, 164.8813
9120.000000, 90.981468, 162.2297
9250.000000, 90.365654, 159.9456
9380.000000, 89.770683, 157.9398
9500.000000, 89.227341, 156.2533
9620.000000, 88.684570, 154.6193
9750.000000, 88.054657, 153.0447
9880.000000, 87.429329, 151.6833
10000.000000, 86.830231, 150.6960
10150.000000, 86.073326, 149.8043
10300.000000, 85.332405, 149.3051
10440.000000, 84.637962, 149.3062
10600.000000, 83.859413, 149.8813
10750.000000, 83.169395, 151.0850
10900.000000, 82.585846, 152.3822
11060.000000, 82.009193, 154.2032
11200.000000, 81.620552, 155.9991
11380.000000, 81.170464, 158.2027
11500.000000, 80.951057, 159.6868
11720.000000, 80.575005, 162.2600
11800.000000, 80.474487, 163.3064
12060.000000, 80.247147, 165.8551
12200.000000, 80.135437, 166.9276
12410.000000, 80.148361, 168.6560
12500.000000, 80.158508, 168.9892
12650.000000, 80.221466, 169.6075
12800.000000, 80.287521, 170.2301
13150.000000, 80.696205, 170.4137
13200.000000, 80.773956, 170.2565
13400.000000, 81.089470, 169.4088
13600.000000, 81.537415, 167.6136
13800.000000, 82.031845, 164.9111
14000.000000, 82.623199, 161.2297
14300.000000, 83.581741, 153.2442
14500.000000, 84.278877, 145.9178
14750.000000, 85.133484, 133.5135
15000.000000, 85.706001, 117.6116
15250.000000, 85.840668, 99.0396
15500.000000, 85.440704, 79.4226
15750.000000, 84.633240, 60.8658
16000.000000, 83.686264, 43.4090
16250.000000, 82.725815, 26.7172
16500.000000, 81.948227, 10.0633
16750.000000, 81.328186, -7.3567
17000.000000, 80.891159, -26.1882
17250.000000, 80.608284, -47.3851
17500.000000, 80.396774, -71.0239
17750.000000, 80.147141, -98.7359
18000.000000, 79.567017, -130.0007
18250.000000, 78.472542, -165.0628
18500.000000, 76.644287, 159.1163
18750.000000, 74.164970, 122.9608
19000.000000, 71.019081, 86.8022
19250.000000, 68.242767, 52.9037
19500.000000, 64.835976, 10.4858
19750.000000, 60.107903, -26.7349
